설문 문제 일련번호,설문 유형 일련번호,항목 출력 순서,설문 문항 설명,프로그램 종류,설문 상세 구분 코드,설문 답항 구분 코드,설문 답항 갯수
92,14,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
93,14,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
94,14,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
95,14,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
96,14,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
97,14,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
98,14,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
99,14,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
100,15,0,기타의견,,,CD_00000000000000061,
133,21,0,성별,,,CD_00000000000000062,
134,21,0,연령,,,CD_00000000000000062,
135,21,0,방문여부,,,CD_00000000000000062,
136,21,0,방문유형,,,CD_00000000000000062,
137,21,0,거주지역,,,CD_00000000000000062,
138,22,0,1순위,,,CD_00000000000000063,3
139,23,0,오리엔테이션,,,CD_00000000000000064,
140,23,0,우리 가,가치찾기,,CD_00000000000000064,
141,23,0,청태산에 가면,행복찾기,,CD_00000000000000064,
142,23,0,두근두근,감성충전,,CD_00000000000000064,
143,23,0,고래도 춤추게 한다,행복찾기,,CD_00000000000000064,
144,23,0,진행시간,,,CD_00000000000000064,
145,24,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
146,24,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
147,24,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
148,24,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
149,24,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
150,24,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
151,24,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
152,24,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
153,24,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
154,24,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
155,24,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
156,24,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
157,24,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
158,24,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
159,24,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
160,24,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
161,24,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
162,24,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
163,24,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
164,24,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
165,25,0,기타의견,,,CD_00000000000000061,
166,23,0,산림체조,활력찾기,,CD_00000000000000064,
167,23,0,숲길걷기,활력찾기,,CD_00000000000000064,
168,23,0,아로마마사지,활력찾기,,CD_00000000000000064,
169,23,0,명상,활력찾기,,CD_00000000000000064,
170,26,0,성별,,,CD_00000000000000062,
171,26,0,연령,,,CD_00000000000000062,
172,26,0,방문여부,,,CD_00000000000000062,
173,26,0,방문유형,,,CD_00000000000000062,
174,26,0,거주지역,,,CD_00000000000000062,
175,27,0,1순위,,,CD_00000000000000063,3
176,28,0,산림체조,활력찾기,,CD_00000000000000064,
177,28,0,숲길걷기,활력찾기,,CD_00000000000000064,
178,28,0,아로마마사지,활력찾기,,CD_00000000000000064,
179,28,0,명상,활력찾기,,CD_00000000000000064,
180,28,0,진행시간,,,CD_00000000000000064,
181,29,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
182,29,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
183,29,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
184,29,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
185,29,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
186,29,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
187,29,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
188,29,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
189,29,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
190,29,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
191,29,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
192,29,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
193,29,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
194,29,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
195,29,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
196,29,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
197,29,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
198,29,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
199,29,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
200,29,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
201,30,0,기타의견,,,CD_00000000000000061,
202,31,0,성별,,,CD_00000000000000062,
203,31,0,연령,,,CD_00000000000000062,
204,31,0,방문여부,,,CD_00000000000000062,
205,31,0,방문유형,,,CD_00000000000000062,
206,31,0,거주지역,,,CD_00000000000000062,
207,32,0,1순위,,,CD_00000000000000063,3
208,33,0,산림체조,활력찾기,,CD_00000000000000064,
209,33,0,숲길걷기,활력찾기,,CD_00000000000000064,
210,33,0,아로마마사지,활력찾기,,CD_00000000000000064,
211,33,0,명상,활력찾기,,CD_00000000000000064,
212,33,0,진행시간,,,CD_00000000000000064,
213,34,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
214,34,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
215,34,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
216,34,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
217,34,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
218,34,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
219,34,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
220,34,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
221,34,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
222,34,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
223,34,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
224,34,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
225,34,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
226,34,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
227,34,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
228,34,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
229,34,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
230,34,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
231,34,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
232,34,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
233,35,0,기타의견,,,CD_00000000000000061,
234,36,0,성별,,,CD_00000000000000062,
235,36,0,연령,,,CD_00000000000000062,
236,36,0,방문여부,,,CD_00000000000000062,
237,36,0,방문유형,,,CD_00000000000000062,
238,36,0,거주지역,,,CD_00000000000000062,
239,37,0,1순위,,,CD_00000000000000063,3
240,38,0,건강측정,,,CD_00000000000000064,
241,38,0,"물, 열치유",활력충전,,CD_00000000000000064,
242,38,0,다담치유,활력찾기,,CD_00000000000000064,
243,38,0,나이트워크,활력찾기,,CD_00000000000000064,
244,38,0,산림체조,활력찾기,,CD_00000000000000064,
245,38,0,숲길걷기,활력찾기,,CD_00000000000000064,
246,38,0,아로마마사지,활력찾기,,CD_00000000000000064,
247,38,0,숲 명상,활력찾기,,CD_00000000000000064,
248,39,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
249,39,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
250,39,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
251,39,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
252,39,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
253,39,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
254,39,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
255,39,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
256,39,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
257,39,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
258,39,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
259,39,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
260,39,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
261,39,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
262,39,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
263,39,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
264,39,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
265,39,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
266,39,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
267,39,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
268,40,0,기타의견,,,CD_00000000000000061,
269,41,0,성별,,,CD_00000000000000062,
270,41,0,연령,,,CD_00000000000000062,
271,41,0,방문여부,,,CD_00000000000000062,
272,41,0,방문유형,,,CD_00000000000000062,
273,41,0,거주지역,,,CD_00000000000000062,
274,42,0,1순위,,,CD_00000000000000063,3
275,43,0,오리엔테이션,,,CD_00000000000000064,
276,43,0,우리 가,가치찾기,,CD_00000000000000064,
277,43,0,청태산에 가면,행복찾기,,CD_00000000000000064,
278,43,0,두근두근,감성충전,,CD_00000000000000064,
279,43,0,고래도 춤추게 한다 ,행복찾기,,CD_00000000000000064,
280,44,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
281,44,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
282,44,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
283,44,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
284,44,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
285,44,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
286,44,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
287,44,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
288,44,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
289,44,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
290,44,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
291,44,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
292,44,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
293,44,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
294,44,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
295,44,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
296,44,0,매점은 편의시설을 잘 갖추고 있다.,,,CD_00000000000000064,
297,44,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
298,44,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
299,44,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
300,44,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
301,45,0,기타의견,,,CD_00000000000000061,
302,46,0,성별,,,CD_00000000000000062,
303,46,0,연령,,,CD_00000000000000062,
304,46,0,방문여부,,,CD_00000000000000062,
305,46,0,방문유형,,,CD_00000000000000062,
306,46,0,거주지역,,,CD_00000000000000062,
307,47,0,1순위,,,CD_00000000000000063,3
308,48,0,산림체조,활력찾기,,CD_00000000000000064,
309,48,0,숲길걷기,활력찾기,,CD_00000000000000064,
310,48,0,아로마마사지,활력찾기,,CD_00000000000000064,
311,48,0,명상,활력찾기,,CD_00000000000000064,
312,48,0,진행시간,,,CD_00000000000000064,
313,49,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
314,49,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
315,49,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
316,49,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
317,49,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
318,49,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
319,49,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
320,49,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
321,49,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
322,49,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
323,49,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
324,49,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
325,49,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
326,49,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
327,49,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
328,49,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
329,49,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
330,49,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
331,49,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
332,49,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
333,50,0,기타의견,,,CD_00000000000000061,
334,51,0,성별,,,CD_00000000000000062,
335,51,0,연령,,,CD_00000000000000062,
336,51,0,방문여부,,,CD_00000000000000062,
337,51,0,방문유형,,,CD_00000000000000062,
338,51,0,거주지역,,,CD_00000000000000062,
339,52,0,1순위,,,CD_00000000000000063,3
340,53,0,산림체조,활력찾기,,CD_00000000000000064,
341,53,0,숲길걷기,활력찾기,,CD_00000000000000064,
342,53,0,아로마마사지,활력찾기,,CD_00000000000000064,
343,53,0,명상,활력찾기,,CD_00000000000000064,
344,53,0,나이트워크,활력찾기,,CD_00000000000000064,
345,53,0,실내숲치유,활력충전,,CD_00000000000000064,
346,53,0,"물, 열치유",활력충전,,CD_00000000000000064,
347,53,0,건강측정,,,CD_00000000000000064,
348,53,0,진행시간,,,CD_00000000000000064,
349,54,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
350,54,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
351,54,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
352,54,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
353,54,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
354,54,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
355,54,0,"프로그램 교육 기자재(교재, 재료 등)를 잘 갖추고 있다.",,,CD_00000000000000064,
356,54,0,프로그램 진행자가 전문성이 있다.,,,CD_00000000000000064,
357,54,0,"노약자, 유아, 장애인 등을 위한 시설을 잘 갖추고 있다.",,,CD_00000000000000064,
358,54,0,프로그램을 진행하기에 적절한 공간을 갖추고 있다.,,,CD_00000000000000064,
359,54,0,"탐방로, 데크로드 등 외부시설의 관리가 잘 되었다.",,,CD_00000000000000064,
360,54,0,시설에 대한 안내표시는 잘 되어있다.,,,CD_00000000000000064,
361,54,0,"강의실, 강당 등 내부 교육시설은 쾌적하였다.",,,CD_00000000000000064,
362,54,0,객실은 청결하게 관리되어 있다.,,,CD_00000000000000064,
363,54,0,식당은 전반적으로 쾌적하였다.,,,CD_00000000000000064,
364,54,0,식당의 식단구성 및 맛은 적절하였다.,,,CD_00000000000000064,
365,54,0,국립횡성숲체원에서 고객이 바라던 것이 모두 충족되었다.,,,CD_00000000000000064,
366,54,0,"국립횡성숲체원의 서비스를 이용하신 후, 국립횡성숲체원의 사업/활동에 대해 신뢰감을 갖게 되었다.",,,CD_00000000000000064,
367,54,0,향후 국립횡성숲체원에 재방문할 의향이 있다.,,,CD_00000000000000064,
368,54,0,국립횡성숲체원을 주변 지인들에게 소개할 의향이 있다.,,,CD_00000000000000064,
369,55,0,기타의견,,,CD_00000000000000061,
370,56,0,성별,,,CD_00000000000000062,
371,56,0,연령,,,CD_00000000000000062,
372,56,0,방문여부,,,CD_00000000000000062,
373,56,0,방문유형,,,CD_00000000000000062,
374,56,0,거주지역,,,CD_00000000000000062,
375,57,0,1순위,,,CD_00000000000000063,3
376,58,0,생활안내 및 안전교육,,,CD_00000000000000064,
377,58,0,몸으로 만나는 숲,자연친구,,CD_00000000000000064,
378,58,0,마음으로 만나는 숲,행복찾기,,CD_00000000000000064,
379,58,0,진행시간,,,CD_00000000000000064,
380,59,0,직원은 칠절하게 고객을 응대하였다,,,CD_00000000000000064,
381,59,0,고객의 입장을 고려하여 신속하게 업무를 처리 하였다.,,,CD_00000000000000064,
382,59,0,숲체원의 서비스 이용과정이 원활했다.,,,CD_00000000000000064,
383,59,0,숲체원에서 받은 서비스는 고객의 이용목적에 부합했다.,,,CD_00000000000000064,
384,59,0,프로그램에 대한 이해가 적절 하였다.,,,CD_00000000000000064,
385,59,0,프로그램은 고객에게 도움이 되었다.,,,CD_00000000000000064,
